"epoch","train_box_loss","train_cls_loss","train_dfl_loss","val_box_loss","val_cls_loss","val_dfl_loss","precision","recall","map50","map50_95","learning_rate"
"1","1.581","1.95333","1.47057","1.66524","4.54182","1.52292","0.38597","0.42069","0.31077","0.15285","0.00999028"
"2","1.67819","1.82835","1.5216","1.83441","5.54145","1.66397","0.27432","0.25828","0.20739","0.09707","0.0195945"
"3","1.82226","2.09545","1.65792","2.04703","4.57262","1.83824","0.58296","0.19962","0.14581","0.06152","0.0288027"
"4","1.84713","2.12596","1.692","1.82673","3.26899","1.67862","0.66118","0.18021","0.1744","0.08139","0.028218"
"5","1.76492","1.97448","1.61497","1.7541","4.22501","1.57099","0.46772","0.24974","0.23736","0.11381","0.027624"
"6","1.70261","1.82252","1.57835","1.68946","3.87533","1.5475","0.37259","0.25844","0.25116","0.12178","0.02703"
"7","1.66143","1.74415","1.54552","1.67401","2.586","1.5274","0.44956","0.31872","0.3051","0.15005","0.026436"
"8","1.62257","1.67164","1.51131","1.59896","2.22925","1.48292","0.37179","0.34775","0.30821","0.15267","0.025842"
"9","1.59855","1.60458","1.49192","1.64588","2.59381","1.50827","0.43567","0.3518","0.33709","0.17222","0.025248"
"10","1.57405","1.56985","1.48174","1.59896","2.47688","1.47769","0.42353","0.35531","0.32995","0.16871","0.024654"
"11","1.55518","1.52892","1.46813","1.57941","2.01374","1.45683","0.44086","0.37871","0.3651","0.19285","0.02406"
"12","1.53075","1.49402","1.45088","1.52211","2.20072","1.41741","0.51821","0.38921","0.3809","0.20154","0.023466"
"13","1.51608","1.4613","1.43875","1.54211","1.90136","1.41211","0.47108","0.37249","0.373","0.19941","0.022872"
"14","1.50639","1.43152","1.43034","1.50564","1.92602","1.39078","0.466","0.41228","0.40685","0.22138","0.022278"
"15","1.49295","1.40626","1.41979","1.50477","1.91216","1.38497","0.53502","0.4085","0.41543","0.22396","0.021684"
