algorithm,train_seed,run_id,success_count,success_rate,mean_score,median_score,standard_deviation,iqm,min,max,q1,q3,mean_reward,median_reward,mean_episode_length,median_episode_length,validation_success_auc,validation_median_score_auc,first_validation_success_ge_50_episode,first_validation_success_ge_60_episode,best_checkpoint_episode,final_five_validation_mean_success,final_five_validation_median_score,training_time_seconds,parameter_count,average_evaluation_time_seconds
vanilla_dqn,202607151,20260715_183822_formal_vanilla_dqn_raw_4frame_seed_202607151,59,0.59,15.66,11.0,13.598691113485886,11.38,2,86,7.0,21.25,44.847999999999786,33.95000000000027,624.54,442.5,357.5,8325.0,2500,2500,2500,0.26,5.3,695.6400851998478,250882,not_recorded
vanilla_dqn,202607152,20260715_185000_formal_vanilla_dqn_raw_4frame_seed_202607152,26,0.26,7.68,3.0,10.747911425016492,3.56,1,59,1.0,10.0,21.889999999999855,8.899999999999979,317.8,138.5,145.0,5825.0,,,1900,0.17,3.2,611.7060498998035,250882,not_recorded
vanilla_dqn,202607153,20260715_190014_formal_vanilla_dqn_raw_4frame_seed_202607153,69,0.69,17.96,14.5,14.64986006759109,15.36,2,90,8.0,24.0,61.76999999999952,52.70000000000051,704.96,574.0,330.0,7950.0,2400,,2400,0.23000000000000004,4.7,706.7656545999926,250882,not_recorded
vanilla_dqn,202607154,20260715_191203_formal_vanilla_dqn_raw_4frame_seed_202607154,66,0.66,17.04,14.0,14.234409014778237,14.52,1,68,6.0,25.0,57.399999999999416,49.250000000000455,671.52,557.5,362.5,9175.0,2400,2400,3000,0.32,8.7,744.0725416999776,250882,not_recorded
vanilla_dqn,202607155,20260715_192429_formal_vanilla_dqn_raw_4frame_seed_202607155,65,0.65,14.08,12.0,9.507554890717172,12.72,2,57,7.0,20.0,47.00899999999996,39.600000000000335,559.57,481.0,247.5,7050.0,2600,2600,2600,0.35000000000000003,6.4,635.6551141999662,250882,not_recorded
double_dqn,202607151,20260715_193511_formal_double_dqn_raw_4frame_seed_202607151,54,0.54,13.47,11.0,14.520643925115717,9.68,0,80,2.0,20.0,43.8489999999996,33.35000000000027,539.37,443.5,372.5,10450.0,2400,2500,2600,0.35,6.8,701.3520839000121,250882,not_recorded
double_dqn,202607152,20260715_194655_formal_double_dqn_raw_4frame_seed_202607152,43,0.43,13.14,6.5,16.35971882398961,7.52,1,82,2.0,17.25,43.13699999999951,23.30000000000006,523.91,274.0,150.0,6125.0,,,2100,0.12000000000000002,3.3,644.3174118997995,250882,not_recorded
double_dqn,202607153,20260715_195742_formal_double_dqn_raw_4frame_seed_202607153,47,0.47,11.42,9.0,8.61415114796577,9.5,0,47,5.0,16.25,36.41400000000003,29.850000000000193,461.36,367.0,210.0,6700.0,2200,2200,2200,0.16,4.8,604.4835036001168,250882,not_recorded
double_dqn,202607154,20260715_200749_formal_double_dqn_raw_4frame_seed_202607154,74,0.74,20.65,18.0,14.825231870024831,17.7,3,80,9.0,28.25,64.77299999999933,54.200000000000614,808.52,704.0,322.5,8750.0,2100,2100,2200,0.19,4.3,686.7317975999322,250882,not_recorded
double_dqn,202607155,20260715_201919_formal_double_dqn_raw_4frame_seed_202607155,44,0.44,9.47,8.0,8.377893529999055,7.5,1,38,2.75,13.25,31.41800000000002,25.700000000000102,385.84,331.5,255.0,8125.0,2700,,2700,0.24000000000000005,4.4,630.3771723001264,250882,not_recorded
dueling_dqn,202607151,20260715_202952_formal_dueling_dqn_raw_4frame_seed_202607151,76,0.76,31.99,24.0,30.34781540737323,24.3,1,137,10.0,48.25,99.53499999999882,72.44999999999999,1235.1,931.5,307.5,8650.0,1900,1900,3000,0.26,8.6,1635.7633490001317,382723,not_recorded
dueling_dqn,202607152,20260716_000724_formal_dueling_dqn_raw_4frame_seed_202607152,87,0.87,152.62,122.5,138.22378811188761,121.64,1,647,53.0,216.5,536.0749999999928,427.6000000000282,5778.43,4643.5,737.5,27525.0,1700,1900,2000,0.27,7.1,1767.9302310999483,382723,not_recorded
dueling_dqn,202607153,20260716_003700_formal_dueling_dqn_raw_4frame_seed_202607153,58,0.58,16.94,11.0,17.970431269171034,12.32,1,122,4.75,23.25,59.26999999999965,38.25000000000026,667.6,444.5,415.0,10750.0,2200,2200,2200,0.35,6.5,961.6592854999471,382723,not_recorded
dueling_dqn,202607154,20260716_005304_formal_dueling_dqn_raw_4frame_seed_202607154,34,0.34,8.83,6.0,7.852458213833424,6.58,1,44,3.0,11.25,28.04300000000005,18.950000000000017,361.0,253.5,310.0,8250.0,1600,1600,1600,0.1,3.6,910.0581827000715,382723,not_recorded
dueling_dqn,202607155,20260716_010818_formal_dueling_dqn_raw_4frame_seed_202607155,56,0.56,16.84,11.5,16.397390036222227,11.92,1,92,6.0,21.0,60.42099999999953,40.20000000000033,663.21,461.5,460.0,11550.0,2600,2600,2600,0.55,11.8,1031.4023227000143,382723,not_recorded
double_dueling_dqn,202607151,20260715_133156_3000ep_raw_4frame_seed_202607151,80,0.8,45.82,32.5,48.03922980231886,32.64,1,248,12.0,56.25,140.2340000000032,98.89999999999873,1754.92,1252.5,495.0,12650.0,1800,2000,2800,0.38,9.2,1295.6637440999039,382723,not_recorded
double_dueling_dqn,202607152,20260715_141342_3000ep_raw_4frame_seed_202607152,32,0.32,9.94,7.0,9.847659620437742,6.88,1,47,3.0,12.5,35.34799999999987,24.950000000000074,401.98,294.0,275.0,8650.0,,,2600,0.3,6.7,970.1670214999467,382723,not_recorded
double_dueling_dqn,202607153,20260715_144637_3000ep_raw_4frame_seed_202607153,56,0.56,15.16,11.0,12.924952611131694,11.88,1,62,5.0,22.0,52.071999999999534,38.750000000000306,600.72,444.5,387.5,10550.0,2300,2300,2300,0.25000000000000006,6.4,915.0424905000255,382723,not_recorded
double_dueling_dqn,202607154,20260715_152252_3000ep_raw_4frame_seed_202607154,73,0.73,27.16,20.5,27.849136431853687,20.6,2,205,8.5,38.25,88.85099999999929,66.10000000000042,1055.24,801.5,370.0,9575.0,1900,2100,2100,0.2,4.9,1132.6294484999962,382723,not_recorded
double_dueling_dqn,202607155,20260715_160154_3000ep_raw_4frame_seed_202607155,43,0.43,11.41,8.0,12.431488245580255,8.5,2,84,4.75,14.0,39.500999999999856,29.200000000000166,458.84,331.0,497.5,11825.0,1900,1900,2000,0.22999999999999998,5.1,1093.4027066000272,382723,not_recorded
