model,alpha,train_mse,validation_mse,coefficient_l2_norm,nonzero_coefficient_count
Ridge,0.001,184.14478300680142,265.2994926584669,156.17282705294724,30
Ridge,0.01,184.1448697967303,265.2308360876554,156.16373276564067,30
Ridge,0.1,184.15353663451413,264.55750440394456,156.0728649551762,30
Ridge,1.0,185.0082259343956,259.1249385418641,155.1716175028901,30
Ridge,10.0,259.898304857496,315.09030495049774,146.8343840429874,30
Ridge,100.0,3239.4944470048276,4092.9246943918174,98.52899617984168,30
Lasso,0.001,184.14481787098396,265.2405641759313,156.17005008786737,30
Lasso,0.01,184.14837422414155,264.64632047068756,156.1358728736918,30
Lasso,0.1,184.46017552765642,259.4920488339541,155.80443458118023,27
Lasso,1.0,204.9138442637239,258.71684985157407,152.94849868596586,17
Lasso,10.0,976.0618664299868,1146.2071599106173,130.2481188675872,8
Lasso,100.0,25026.43447686585,24907.406162968175,0.0,0
