"epoch","train_box_loss","train_cls_loss","train_dfl_loss","val_box_loss","val_cls_loss","val_dfl_loss","precision","recall","map50","map50_95","learning_rate"
"1","1.72335","2.46272","1.67844","1.85747","2.83001","1.69834","0.3605","0.34409","0.27776","0.13867","0.00998058"
"2","1.63131","1.8498","1.52684","1.80908","2.43682","1.65393","0.47421","0.30051","0.28174","0.13808","0.019585"
"3","1.68418","1.89028","1.54849","1.92788","3.26329","1.75291","0.20138","0.2349","0.15855","0.06805","0.0287934"
"4","1.74774","1.92255","1.58704","1.8377","2.39478","1.67531","0.35454","0.29089","0.238","0.10757","0.028218"
"5","1.70436","1.80507","1.55392","1.81862","2.56947","1.66611","0.34423","0.32422","0.28657","0.13525","0.027624"
"6","1.65782","1.71304","1.53163","1.74959","2.0162","1.60072","0.40934","0.31515","0.30424","0.14549","0.02703"
"7","1.60836","1.62294","1.4963","1.71578","1.87664","1.56973","0.39928","0.36587","0.33372","0.1623","0.026436"
"8","1.59179","1.58707","1.48253","1.64514","1.91687","1.52077","0.45876","0.37397","0.36814","0.18166","0.025842"
"9","1.55922","1.51996","1.45903","1.65157","2.00057","1.5485","0.49176","0.37085","0.37008","0.18516","0.025248"
"10","1.54257","1.48388","1.4408","1.63323","1.72331","1.52558","0.52989","0.40238","0.39109","0.20276","0.024654"
"11","1.51312","1.43915","1.42716","1.58353","1.74697","1.46965","0.45077","0.41054","0.39468","0.20979","0.02406"
"12","1.50595","1.42432","1.41987","1.5603","1.64976","1.44788","0.48413","0.40404","0.3988","0.21153","0.023466"
"13","1.48934","1.38793","1.4082","1.54608","1.59353","1.43496","0.48948","0.43494","0.4146","0.21919","0.022872"
"14","1.47439","1.3573","1.39714","1.51372","1.51526","1.4327","0.57723","0.43463","0.43899","0.23492","0.022278"
"15","1.45777","1.33873","1.3849","1.49926","1.44268","1.4057","0.4854","0.47993","0.43698","0.23915","0.021684"
"16","1.45286","1.30689","1.37882","1.50866","1.51149","1.4366","0.54454","0.47694","0.4693","0.25535","0.02109"
"17","1.43377","1.286","1.36482","1.49026","1.45441","1.39687","0.53466","0.45317","0.45521","0.24828","0.020496"
"18","1.42394","1.2647","1.35584","1.48034","1.34773","1.3824","0.56284","0.46712","0.47958","0.26264","0.019902"
"19","1.41756","1.24927","1.35416","1.48595","1.32864","1.39022","0.5825","0.44162","0.47865","0.26545","0.019308"
"20","1.40302","1.22753","1.3456","1.4686","1.31663","1.37107","0.58509","0.46861","0.49966","0.27895","0.018714"
"21","1.39365","1.20477","1.33437","1.44957","1.30275","1.37071","0.60334","0.47082","0.49533","0.28007","0.01812"
"22","1.38312","1.18933","1.33209","1.4479","1.31425","1.3591","0.54443","0.49283","0.49526","0.28167","0.017526"
"23","1.37158","1.17334","1.32495","1.46465","1.35939","1.37684","0.57276","0.49516","0.50239","0.28526","0.016932"
"24","1.36649","1.1581","1.31608","1.44079","1.35228","1.36011","0.58727","0.50713","0.51413","0.28873","0.016338"
"25","1.34997","1.12866","1.30097","1.4467","1.24497","1.34537","0.60704","0.49212","0.52117","0.29828","0.015744"
"26","1.33996","1.10984","1.30247","1.42383","1.22331","1.34902","0.61662","0.49967","0.52101","0.29414","0.01515"
"27","1.325","1.09113","1.28835","1.445","1.20078","1.34929","0.57644","0.49868","0.52073","0.29275","0.014556"
"28","1.32452","1.08531","1.28985","1.44212","1.22133","1.35297","0.60815","0.50285","0.52254","0.2982","0.013962"
"29","1.30684","1.07499","1.27896","1.42166","1.18696","1.33743","0.63213","0.50888","0.5352","0.30283","0.013368"
"30","1.30542","1.05676","1.27287","1.42441","1.17841","1.34172","0.61047","0.50327","0.52341","0.29834","0.012774"
"31","1.29514","1.03099","1.26498","1.39935","1.12347","1.32641","0.61867","0.5051","0.54405","0.31199","0.01218"
"32","1.28199","1.02615","1.26516","1.39679","1.12584","1.33073","0.63214","0.50378","0.54311","0.31266","0.011586"
"33","1.27462","1.00467","1.24963","1.40101","1.14969","1.33426","0.62726","0.49029","0.54246","0.31415","0.010992"
"34","1.26569","0.99016","1.24897","1.38126","1.12845","1.32049","0.63206","0.50251","0.5443","0.31748","0.010398"
"35","1.25505","0.97674","1.24323","1.3874","1.11272","1.32843","0.60283","0.53114","0.5465","0.31887","0.009804"
"36","1.23735","0.9531","1.23119","1.39809","1.10256","1.33201","0.64252","0.51515","0.55508","0.32058","0.00921"
"37","1.22749","0.94474","1.22513","1.38655","1.08427","1.32517","0.61417","0.52805","0.55411","0.32109","0.008616"
"38","1.22794","0.92649","1.21778","1.38883","1.07661","1.32294","0.59853","0.54725","0.55513","0.32111","0.008022"
"39","1.21974","0.91987","1.21863","1.38619","1.07129","1.31873","0.64581","0.51664","0.56219","0.32644","0.007428"
"40","1.19473","0.89484","1.20102","1.39131","1.05739","1.32006","0.63734","0.53157","0.56365","0.32864","0.006834"
"41","1.20983","0.82506","1.21116","1.39422","1.0524","1.32679","0.65535","0.52117","0.56376","0.3272","0.00624"
"42","1.20028","0.80649","1.20093","1.4036","1.0764","1.33473","0.63413","0.53494","0.56348","0.32586","0.005646"
"43","1.18195","0.78727","1.1916","1.41038","1.08178","1.33925","0.63946","0.53992","0.56338","0.32517","0.005052"
"44","1.16322","0.761","1.17826","1.40411","1.06608","1.33806","0.60341","0.55149","0.56115","0.32438","0.004458"
"45","1.14531","0.74734","1.16859","1.39709","1.04999","1.33912","0.62014","0.54129","0.55911","0.32375","0.003864"
"46","1.13425","0.72679","1.16259","1.39661","1.04789","1.34074","0.61811","0.53964","0.5549","0.32254","0.00327"
"47","1.12023","0.70745","1.15237","1.40651","1.05208","1.34642","0.62294","0.53562","0.55113","0.31944","0.002676"
"48","1.1035","0.68813","1.14178","1.40961","1.05274","1.35065","0.63071","0.53532","0.55008","0.3185","0.002082"
"49","1.08787","0.67601","1.1319","1.40619","1.05142","1.3512","0.63015","0.53062","0.54867","0.31741","0.001488"
"50","1.07914","0.66063","1.12758","1.40534","1.0502","1.35292","0.63911","0.52584","0.54876","0.31786","0.000894"
