run_id,epoch,train_box_loss,train_cls_loss,train_dfl_loss,val_box_loss,val_cls_loss,val_dfl_loss,precision,recall,mAP50,mAP50_95,learning_rate
v1_640,1,1.91025,4.28375,1.62981,1.93283,4.34292,1.60068,0.15806,0.21341,0.12468,0.05023,0.00030006
v1_640,2,1.72539,2.41187,1.48086,2.06508,4.09854,1.76227,0.17732,0.17019,0.12494,0.04709,0.000604578
v1_640,3,1.87881,2.11717,1.54928,2.1748,51.2293,2.30936,0.03405,0.29609,0.02353,0.00817,0.000896553
v1_640,4,1.91612,2.06274,1.58078,2.11196,11.2082,2.3942,0.18195,0.31277,0.173,0.06695,0.00117599
v1_640,5,1.86983,1.95884,1.56212,2.2443,5.73987,2.61412,0.19675,0.28784,0.14624,0.05061,0.00144288
v1_640,6,1.90496,2.0607,1.59361,2.3802,6.21836,2.37261,0.0825,0.17468,0.04853,0.01895,0.00150197
v1_640,7,1.86927,1.93971,1.55305,2.22171,15.9904,2.37316,0.06892,0.19907,0.03807,0.01197,0.00146896
v1_640,8,1.88161,1.97395,1.52265,2.23964,17.0827,2.72974,0.09052,0.38522,0.08917,0.03141,0.00143595
v1_640,9,1.8359,1.94427,1.5604,2.00978,7.44594,1.75528,0.20203,0.4609,0.23436,0.07676,0.00140295
v1_640,10,1.79415,1.87344,1.54384,1.96358,5.76975,1.73846,0.28642,0.40262,0.26228,0.11461,0.00136994
v1_640,11,1.7735,1.77385,1.50105,2.19215,2.97971,1.8765,0.28951,0.32658,0.2521,0.10111,0.00133693
v1_640,12,1.78532,1.74759,1.49419,2.01538,2.7713,1.74855,0.39517,0.29713,0.2915,0.12841,0.00130393
v1_640,13,1.72681,1.64854,1.45519,2.10477,2.32144,1.84145,0.32411,0.35635,0.2583,0.11327,0.00127092
v1_640,14,1.76138,1.61082,1.47192,2.13584,1.95702,1.81306,0.34618,0.35043,0.29424,0.12576,0.00123791
v1_640,15,1.72285,1.70441,1.46817,2.08348,2.07808,1.72676,0.41147,0.2778,0.24914,0.09632,0.00120491
v1_640,16,1.66479,1.67003,1.42327,2.02861,2.28781,1.69907,0.34849,0.31582,0.27632,0.11951,0.0011719
v1_640,17,1.6609,1.53613,1.39726,2.10789,2.48807,1.7532,0.37005,0.37679,0.28651,0.10609,0.00113889
